LON,LAT,EDO,CLAVE,ESTACION,nov-23
-99.028889,19.338333,DF,SCMDF,"Rebombeo La Quebradora Santa Cruz Meyehualco, Cd. de Méx.",40.35
-99.122222,19.572222,DF,SGDDF,"Sierra Guadalupe, Cd. de Méx.",32.25
-99.066667,19.466667,DF,SJADF,"San Juan de Aragón, Cd. de Méx.",39.9
-99.17,19.262778,DF,SPEDROMARTIR,"San Pedro Mártir, Cd. de Méx. SEGIAGUA",0
-99.009722,19.281389,DF,SPPDF,"San Pedro Tláhuac, Cd. de Méx.",0
-99.186389,19.455556,DF,TACUBA,"Tacuba, Cd. de Méx. UNAM*",21.099
-99.141389,19.344444,DF,TAXQUENA,"Taxqueña, Cd. de Méx. UNAM*",22.45
-99.1425,19.556111,DF,TCMDF,"Tanque Chalmita, Cd. de Méx.",20.82
-99.272222,19.373056,DF,TECDF,"Tanque el Cartero, Cd. de Méx.",38.6
-99.220833,19.337778,DF,TELDF,"Tanque el Lienzo, Cd. de Méx.",21.09
-99.099722,19.385,DF,TEZDF,"Tezontle, Cd. de Méx. SMN*",0.51
-99.211667,19.399167,DF,TNGDF,"Triángulo, Cd. de Méx.",32.52
-99.135833,19.199444,DF,TPJDF,"Topilejo, Cd. de Méx.",89.92
-99.084722,19.440833,DF,TPNDF,"Tanque Peñón, Cd. de Méx.",43.94
-99.2125,19.361944,DF,TRGDF,"Tarango, Cd. de Méx.",10.92
-99.248611,19.316667,DF,TSFDF,"Tanque San Francisco, Cd. de Méx.",28.7
-99.228611,19.436389,DF,TSJDF,"Tanque San Joaquín, Cd. de Méx.",17.28
-99.264444,19.359722,DF,TSLDF,"Santa Fe Santa Lucía, Cd. de Méx.",35.81
-99.181111,19.3475,DF,UNIVERSIDADDF,"Universidad, Cd. de Méx. SEGIAGUA",35.24
-99.106667,19.250278,DF,XOCHIMILCO,"Xochimilco, Cd. de Méx. UNAM*",31.75
-104.066111,25.263333,DGO,AM2DR,"Agustín Melgar, Dgo. SMN*",24
-104.810278,24.540278,DGO,CBRDR,"Caboraca, Dgo.",49.53
-104.121111,24.4375,DGO,CGVDR,"Ciudad Guadalupe Victoria, Dgo.",29.01
-103.521667,25.533333,DGO,CLRDR,"Ciudad Lerdo, Dgo.",43.11
-103.698889,24.871944,DGO,CNCDR,"Cuencamé, Dgo.",45
-104.782778,24.518333,DGO,CNTDR,"Canatlán, Dgo.",50.2
-103.960833,24.001667,DGO,FVLDR,"Francisco Villa, Dgo.",65
-103.773611,25.265278,DGO,FZRDR,"Francisco Zarco, Dgo.",41.01
-105.25,25.5,DGO,GESDR,"General Escobedo, Dgo.",20.04
-105.952222,25.934444,DGO,GNCDR,"Guanaceví, Dgo.",4.01
